,Number of Students,Latitude,Longitude,geometry
90011,5,34.0,-118.25,"POLYGON ((-118.274021 34.016452, -118.272625 34.018654, -118.268371 34.018818, -118.271601 34.020256, -118.268671 34.024847, -118.267099 34.027311, -118.26492 34.028413, -118.266051 34.028952, -118.264679 34.030991, -118.262447 34.029962, -118.262905 34.027467, -118.262757 34.027703, -118.262182 34.028606, -118.259956 34.027571, -118.260543 34.026742, -118.25856 34.02588, -118.257437 34.027631, -118.255534 34.026748, -118.256116 34.025872, -118.253587 34.025845, -118.248042 34.023027, -118.246591 34.021208, -118.245184 34.021421, -118.246179 34.020172, -118.244138 34.019004, -118.243995 34.020805, -118.242772 34.020595, -118.242856 34.018717, -118.243023 34.018754, -118.243237 34.014286, -118.244877 34.01385, -118.243247 34.013201, -118.243376 34.003917, -118.243139 33.989443, -118.256436 33.989498, -118.256436 33.989317, -118.265185 33.989227, -118.270528 33.989205, -118.270526 33.986067, -118.271807 33.986143, -118.271808 33.9892, -118.273928 33.989191, -118.273948 33.995227, -118.272844 33.996514, -118.273953 33.996505, -118.273972 34.002014, -118.27279 34.003835, -118.273428 34.003831, -118.273984 34.005683, -118.274009 34.013057, -118.274021 34.016452))"
90012,5,34.06,-118.24,"POLYGON ((-118.256045 34.056183, -118.253407 34.060393, -118.25506 34.061142, -118.25271 34.064799, -118.25133 34.063193, -118.250376 34.064099, -118.254427 34.066964, -118.254167 34.067361, -118.25205 34.065825, -118.251504 34.066968, -118.24883 34.067348, -118.246484 34.071778, -118.240446 34.069313, -118.239817 34.068249, -118.238003 34.069003, -118.236312 34.071661, -118.236107 34.07521, -118.238123 34.076553, -118.240707 34.07661, -118.242108 34.076067, -118.242907 34.07441, -118.245418 34.075124, -118.246869 34.07635399999999, -118.251243 34.078669, -118.251651 34.080382, -118.249715 34.082296, -118.247504 34.080569, -118.245668 34.083649, -118.243034 34.086149, -118.240288 34.085341, -118.237523 34.08913, -118.232552 34.085811, -118.232118 34.085961, -118.228423 34.083427, -118.22788 34.083188, -118.227606 34.08308299999999, -118.227235 34.081218, -118.226553 34.079733, -118.224793 34.071974, -118.224513 34.067602, -118.226747 34.062246, -118.226904 34.061622, -118.226241 34.055929, -118.228577 34.052912, -118.229988 34.047908, -118.232615 34.048257, -118.232586 34.045977, -118.236108 34.045783, -118.23808 34.046905, -118.238061 34.045538, -118.239561 34.04611, -118.239291 34.0477, -118.241795 34.049346, -118.242504 34.047326, -118.244727 34.048517, -118.24334 34.050273, -118.244519 34.051003, -118.245853 34.04956, -118.250157 34.052347, -118.252275 34.053711, -118.251005 34.055081, -118.253401 34.054434, -118.255897 34.056087, -118.256045 34.056183))"
90014,1,34.04,-118.25,"POLYGON ((-118.257926 34.045849, -118.253932 34.050176, -118.252844 34.049472, -118.25418 34.048038, -118.24524 34.04226, -118.245919 34.04011, -118.248334 34.037807, -118.25033 34.037303, -118.25271 34.039475, -118.25168 34.04132999999999, -118.254093 34.040736, -118.254517 34.041122, -118.254943 34.041599, -118.257126 34.043023, -118.256865 34.045163, -118.257926 34.045849))"
90015,1,34.03,-118.26,"POLYGON ((-118.284102 34.039855, -118.282846 34.039285, -118.279689 34.043821, -118.277897 34.045086, -118.280348 34.046193, -118.278433 34.047301, -118.276532 34.050232, -118.274313 34.051362, -118.271983 34.050311, -118.27101 34.051799, -118.269686 34.049277, -118.26654 34.047859, -118.261441 34.045817, -118.258206 34.043727, -118.256865 34.045163, -118.257126 34.043023, -118.254943 34.041599, -118.256716 34.040455, -118.255845 34.039571, -118.254093 34.040736, -118.25168 34.04132999999999, -118.25271 34.039475, -118.25033 34.037303, -118.249831 34.035545, -118.25103 34.036636, -118.25169 34.035914, -118.250333 34.034856, -118.251454 34.03332, -118.253018 34.034108, -118.255076 34.031193, -118.250771 34.029112, -118.25549 34.030583, -118.257437 34.027631, -118.25856 34.02588, -118.260543 34.026742, -118.259956 34.027571, -118.262182 34.028606, -118.262757 34.027703, -118.262905 34.027467, -118.262447 34.029962, -118.264679 34.030991, -118.274283 34.035398, -118.276743 34.036515, -118.278222 34.03422, -118.279192 34.034654, -118.277705 34.036951, -118.279613 34.037817, -118.281847 34.03744, -118.281547 34.037893, -118.282853 34.037618, -118.284023 34.038181, -118.284102 34.039855))"
90272,9,34.07,-118.54,"POLYGON ((-118.587102 34.09096, -118.584418 34.091672, -118.58243 34.093212, -118.581594 34.096281, -118.580325 34.097015, -118.580259 34.098344, -118.578385 34.100109, -118.574679 34.101561, -118.573205 34.103519, -118.57094 34.104838, -118.572862 34.10681, -118.569608 34.108861, -118.572708 34.109861, -118.573444 34.110983, -118.575713 34.110794, -118.576329 34.111415, -118.572493 34.117628, -118.564752 34.130168, -118.565316 34.130383, -118.564017 34.131147, -118.55992 34.129929, -118.557753 34.126981, -118.556774 34.126496, -118.55597 34.128034, -118.553622 34.128247, -118.554754 34.127113, -118.553408 34.12601, -118.549483 34.126434, -118.547814 34.12585, -118.54441 34.126548, -118.542059 34.127543, -118.541651 34.128931, -118.539306 34.1298, -118.5396 34.130949, -118.537358 34.130637, -118.534532 34.131412, -118.534054 34.129902, -118.532826 34.130969, -118.531871 34.129644, -118.526391 34.128592, -118.521545 34.128084, -118.518977 34.129031, -118.518817 34.12719, -118.517541 34.126212, -118.516463 34.122708, -118.51684 34.121671, -118.518473 34.120934, -118.520654 34.118862, -118.521442 34.117313, -118.520486 34.111734, -118.52144 34.104451, -118.521157 34.101357, -118.519309 34.097942, -118.519371 34.09309, -118.518732 34.089604, -118.51889 34.088637, -118.517583 34.08691, -118.516033 34.082535, -118.514177 34.081918, -118.512355 34.080045, -118.512157 34.078742, -118.510492 34.076605, -118.509945 34.075139, -118.509692 34.074239, -118.512761 34.072282, -118.511265 34.071473, -118.508211 34.069043, -118.504764 34.065503, -118.50531 34.064287, -118.504187 34.066151, -118.504805 34.06691199999999, -118.502849 34.067435, -118.501053 34.066679, -118.498509 34.064533, -118.496606 34.064071, -118.495264 34.062169, -118.496064 34.056627, -118.498566 34.054701, -118.499837 34.053025, -118.49987 34.051556, -118.496229 34.050223, -118.496873 34.04807, -118.503965 34.040724, -118.506598 34.040582, -118.50731 34.040196, -118.509355 34.041402, -118.510044 34.041046, -118.51365 34.033646, -118.515212 34.03313, -118.515373 34.035598, -118.513348 34.037548, -118.512267 34.040954, -118.513405 34.042344, -118.514098 34.03994, -118.515424 34.041355, -118.51399 34.04303, -118.515865 34.043106, -118.514433 34.044926, -118.514964 34.045563, -118.516827 34.044144, -118.517162 34.04194, -118.518212 34.041304, -118.518096 34.039318, -118.519617 34.034904, -118.518866 34.031382, -118.51712 34.031047, -118.51892 34.029219, -118.519726744824 34.0276081475071, -118.536114307181 34.0352454000966, -118.543115 34.038508, -118.549076 34.040201, -118.554891 34.037762, -118.562149 34.04079, -118.56714103306 34.0413888185296, -118.570107 34.047117, -118.570129 34.049083, -118.570165 34.051728, -118.570395 34.069346, -118.577505 34.070578, -118.578177 34.072522, -118.577141 34.074038, -118.578632 34.075686, -118.578355 34.076989, -118.579826 34.077487, -118.579637 34.080475, -118.582732 34.081617, -118.583276 34.082356, -118.58552 34.083147, -118.586439 34.086071, -118.587234 34.086532, -118.586792 34.088388, -118.587533 34.089785, -118.587102 34.09096))"
90016,23,34.02,-118.35,"POLYGON ((-118.381945 34.020965, -118.377952 34.02197, -118.376697 34.023988, -118.3771 34.026228, -118.37622 34.028646, -118.373643 34.030421, -118.371901 34.029929, -118.369577 34.03508, -118.372649 34.035825, -118.368792 34.038165, -118.369801 34.040019, -118.364793 34.042776, -118.365714 34.039686, -118.361984 34.041021, -118.361281 34.039899, -118.360723 34.041423, -118.359392 34.041832, -118.359036 34.039757, -118.35636 34.041129, -118.354671 34.04144, -118.346385 34.040155, -118.344713 34.03982, -118.339801 34.039837, -118.339554 34.040506, -118.337958 34.040068, -118.337374 34.039846, -118.329738 34.039872, -118.331675 34.036335, -118.332776 34.036765, -118.335101 34.032579, -118.335098 34.02241, -118.332901 34.021017, -118.3329 34.018232, -118.335312 34.018221, -118.335312 34.016419, -118.336465 34.016512, -118.336318 34.018223, -118.345182 34.018253, -118.347527 34.017056, -118.350433 34.018271, -118.35046 34.017276, -118.353611 34.017286, -118.353631 34.018282, -118.360994 34.018037, -118.367239 34.018395, -118.371781 34.019123, -118.372627 34.018471, -118.377973 34.018018, -118.378458 34.018456, -118.37921 34.018742, -118.381697 34.017924, -118.384937 34.019805, -118.381945 34.020965))"
90018,21,34.02,-118.31,"POLYGON ((-118.335101 34.032579, -118.332776 34.036765, -118.331675 34.036335, -118.329738 34.039872, -118.320074 34.039904, -118.320078 34.040897, -118.317701 34.040904, -118.317698 34.039912, -118.308999 34.039939, -118.300349 34.039969, -118.300241 34.030899, -118.301494 34.030893, -118.301474 34.027306, -118.30022 34.02731, -118.300165 34.018177, -118.313255 34.018255, -118.31709 34.017254, -118.318236 34.018274, -118.321325 34.01828, -118.322392 34.016129, -118.32414 34.016132, -118.324143 34.018895, -118.327078 34.018255, -118.3329 34.018232, -118.332901 34.021017, -118.335098 34.02241, -118.335101 34.032579))"
90019,66,34.04,-118.34,"POLYGON ((-118.370497 34.04141, -118.36978 34.043207, -118.367182 34.049699, -118.366871 34.053192, -118.366032 34.053378, -118.366008 34.055882, -118.364894 34.058305, -118.363818 34.058183, -118.360966 34.056668, -118.359856 34.057519, -118.354739 34.05741, -118.355409 34.054467, -118.354642 34.054199, -118.353539 34.057385, -118.339393 34.057063, -118.338167 34.058981, -118.336705 34.058597, -118.334975 34.059177, -118.330302 34.058895, -118.328521 34.059161, -118.330074 34.055869, -118.32791 34.055256, -118.328281 34.056741, -118.327655 34.058343, -118.318774 34.05513, -118.318081 34.05585, -118.309064 34.055846, -118.309059 34.054438, -118.31013 34.054438, -118.31013 34.049401, -118.309041 34.049402, -118.309033 34.047192, -118.310147 34.045374, -118.309016 34.043567, -118.308999 34.039939, -118.317698 34.039912, -118.317701 34.040904, -118.320078 34.040897, -118.320074 34.039904, -118.329738 34.039872, -118.337374 34.039846, -118.337958 34.040068, -118.339554 34.040506, -118.339801 34.039837, -118.344713 34.03982, -118.346385 34.040155, -118.354671 34.04144, -118.35636 34.041129, -118.359036 34.039757, -118.359392 34.041832, -118.360723 34.041423, -118.361281 34.039899, -118.361984 34.041021, -118.365714 34.039686, -118.364793 34.042776, -118.369801 34.040019, -118.370497 34.04141))"
90020,11,34.06,-118.31,"POLYGON ((-118.337348 34.068911, -118.309114 34.068961, -118.302901 34.069119, -118.302917 34.071178, -118.301662 34.071186, -118.301597 34.06901, -118.291662 34.069052, -118.291666 34.070382, -118.289764 34.070396, -118.289365 34.069056, -118.285815 34.068986, -118.284334 34.068528, -118.284302 34.063715, -118.289914 34.063691, -118.291644 34.063683, -118.292914 34.063604, -118.295365 34.063595, -118.296637 34.063589, -118.299197 34.063574, -118.301597 34.06356, -118.302852 34.063553, -118.304107 34.063545, -118.304108 34.061857, -118.304174 34.061721, -118.305352 34.063538, -118.309093 34.063516, -118.310339 34.063516, -118.313157 34.063516, -118.313731 34.063419, -118.31436 34.063207, -118.314839 34.063121, -118.315406 34.063147, -118.3165 34.063448, -118.319959 34.063547, -118.321412 34.063581, -118.331847 34.064, -118.33373 34.064937, -118.337149 34.064928, -118.337763 34.066905, -118.337348 34.068911))"
90024,3,34.06,-118.43,"POLYGON ((-118.457898 34.069106, -118.454996 34.070319, -118.455924 34.074765, -118.455491 34.07585, -118.454658 34.076543, -118.453252 34.07692, -118.450796 34.075773, -118.448707 34.073516, -118.445241 34.073811, -118.444885 34.073349, -118.44869 34.073294, -118.44955 34.071218, -118.448974 34.068534, -118.447501 34.066281, -118.448223 34.063639, -118.445343 34.063675, -118.44509 34.067015, -118.441201 34.067033, -118.439176 34.067505, -118.438759 34.070357, -118.437445 34.071632, -118.43734 34.072978, -118.439421 34.078246, -118.43559 34.080614, -118.433855 34.082749, -118.431746 34.082236, -118.429208 34.079191, -118.425974 34.080835, -118.425266 34.080812, -118.423023 34.079931, -118.423828 34.07974, -118.423289 34.075689, -118.420928 34.075428, -118.419642 34.072652, -118.418462 34.072361, -118.416371 34.06884, -118.416319 34.067079, -118.414344 34.064324, -118.418614 34.061389, -118.421419 34.059461, -118.422415 34.060124, -118.42473 34.058368, -118.424179 34.057564, -118.431518 34.05252, -118.433514 34.053866, -118.435551 34.05268, -118.43397 34.050847, -118.441264 34.048661, -118.443 34.050673, -118.442102 34.05121, -118.447715 34.057721, -118.451815 34.055939, -118.454106 34.058346, -118.454211 34.05848, -118.449929 34.060527, -118.4544 34.065597, -118.454681 34.066799, -118.456648 34.06763, -118.457898 34.069106))"
90025,5,34.04,-118.44,"MULTIPOLYGON (((-118.444664 34.0339, -118.443705 34.034473, -118.441883 34.035564, -118.440718 34.034213, -118.444312 34.03341, -118.444664 34.0339)), ((-118.474465 34.044279, -118.473077 34.044171, -118.470308 34.041804, -118.459221 34.050785, -118.458 34.053152, -118.455058 34.054587, -118.454134 34.053092, -118.456042 34.051267, -118.455545 34.049806, -118.453027 34.049201, -118.451135 34.04968, -118.450037 34.048365, -118.448636 34.049356, -118.449993 34.052835, -118.454106 34.058346, -118.451815 34.055939, -118.447715 34.057721, -118.442102 34.05121, -118.443 34.050673, -118.441264 34.048661, -118.43397 34.050847, -118.435551 34.05268, -118.433514 34.053866, -118.431518 34.05252, -118.424179 34.057564, -118.42473 34.058368, -118.422415 34.060124, -118.421419 34.059461, -118.418614 34.061389, -118.421294 34.059084, -118.4162 34.053176, -118.417652 34.053016, -118.418333 34.051715, -118.44126 34.038187, -118.442445 34.039561, -118.444348 34.038423, -118.443162 34.037048, -118.446895 34.034815, -118.448079 34.036188, -118.449041 34.035612, -118.447858 34.034239, -118.449826 34.033196, -118.450933 34.03447999999999, -118.454021 34.032633, -118.458037 34.036058, -118.46146 34.03328, -118.470888 34.041334, -118.47096 34.041276, -118.473721 34.044036, -118.474465 34.044279)))"
90026,4,34.07,-118.26,"POLYGON ((-118.284466 34.083733, -118.27955 34.090733, -118.279715 34.091542, -118.277162 34.095776, -118.275638 34.095363, -118.268551 34.095291, -118.268562 34.09414599999999, -118.266757 34.093476, -118.266013 34.09563, -118.261035 34.099946, -118.260856 34.09752, -118.26334 34.093963, -118.264394 34.091552, -118.261219 34.090067, -118.260434 34.090493, -118.256614 34.088835, -118.254316 34.087332, -118.254234 34.089112, -118.250742 34.093426, -118.251311 34.095035, -118.248899 34.095572, -118.246686 34.094631, -118.245978 34.095117, -118.243699 34.094277, -118.243823 34.095615, -118.237301 34.089257, -118.232118 34.085961, -118.232552 34.085811, -118.237523 34.08913, -118.240288 34.085341, -118.243034 34.086149, -118.245668 34.083649, -118.247504 34.080569, -118.249715 34.082296, -118.251651 34.080382, -118.251243 34.078669, -118.246869 34.07635399999999, -118.245418 34.075124, -118.247019 34.073965, -118.247456 34.073246, -118.246998 34.072323, -118.246484 34.071778, -118.24883 34.067348, -118.251504 34.066968, -118.25205 34.065825, -118.254167 34.067361, -118.254427 34.066964, -118.250376 34.064099, -118.25133 34.063193, -118.25271 34.064799, -118.25506 34.061142, -118.253407 34.060393, -118.256045 34.056183, -118.259378 34.058226, -118.267932 34.060871, -118.26843 34.062051, -118.266594 34.065005, -118.277646 34.069861, -118.277174 34.070598, -118.278988 34.071389, -118.279463 34.070648, -118.284036 34.072629, -118.282087 34.075677, -118.283044 34.076126, -118.284399 34.076717, -118.284419 34.078735, -118.282043 34.077698, -118.281594 34.078403, -118.284428 34.079641, -118.284464 34.083589, -118.284466 34.083733))"
