,Number of Students,Latitude,Longitude,geometry
90027,4,34.12,-118.28,"POLYGON ((-118.312486 34.15469, -118.31032 34.16076, -118.308728 34.161439, -118.30807 34.161224, -118.304335 34.15884, -118.29883 34.157683, -118.297415 34.158871, -118.295602 34.158798, -118.29154 34.155777, -118.287469 34.155771, -118.282672 34.156774, -118.280496 34.156333, -118.27932 34.155128, -118.279012 34.153367, -118.278983 34.153203, -118.278535 34.153205, -118.278337 34.153205, -118.278183 34.148029, -118.276272 34.141043, -118.272408 34.12751799999999, -118.270071 34.122066, -118.269967 34.121213, -118.26735 34.115765, -118.265391 34.113684, -118.266243 34.1127, -118.267271 34.112279, -118.26897 34.111588, -118.271385 34.10917999999999, -118.27296 34.103681, -118.273292 34.103688, -118.273637 34.09937, -118.277162 34.095776, -118.284127 34.095812, -118.286722 34.095735, -118.288479 34.096705, -118.288478 34.09567, -118.300499 34.095221, -118.300507 34.096669, -118.303139 34.09666199999999, -118.303134 34.095126, -118.309211 34.09489, -118.309282 34.105381, -118.309297 34.107687, -118.307736 34.107988, -118.307256 34.110138, -118.307509 34.113408, -118.306509 34.116808, -118.307109 34.117508, -118.307909 34.115008, -118.308809 34.116508, -118.307909 34.119308, -118.308809 34.120108, -118.307409 34.123408, -118.306309 34.124508, -118.304609 34.124808, -118.302009 34.123608, -118.304009 34.125308, -118.306909 34.126108, -118.304209 34.128208, -118.305802 34.129003, -118.304367 34.130872, -118.302298 34.130872, -118.300852 34.131578, -118.301576 34.134021, -118.302785 34.134116, -118.303949 34.135428, -118.305369 34.135516, -118.306328 34.137106, -118.308456 34.13903, -118.305145 34.137971, -118.30339 34.141714, -118.305515 34.141985, -118.305273 34.144321, -118.306243 34.143336, -118.307149 34.14485, -118.308874 34.144453, -118.306232 34.147031, -118.304417 34.148193, -118.302741 34.147639, -118.302129 34.149428, -118.305115 34.14937, -118.307245 34.1488, -118.30932 34.150525, -118.30869 34.152551, -118.309218 34.153863, -118.311835 34.153149, -118.310878 34.15485, -118.312615 34.154477, -118.312486 34.15469))"
90028,4,34.1,-118.32,"POLYGON ((-118.346767 34.100267, -118.345084 34.101206, -118.345873 34.10369, -118.34484 34.104012, -118.34386 34.104116, -118.344158 34.105759, -118.342809 34.104119, -118.338368 34.104136, -118.336415 34.105976, -118.333353 34.10642199999999, -118.333346 34.105197, -118.328171 34.105432, -118.325218 34.105197, -118.315814 34.105265, -118.31578 34.107724, -118.314741 34.107365, -118.314739 34.105284, -118.309282 34.105381, -118.309211 34.09489, -118.3092 34.093606, -118.31108 34.094794, -118.315753 34.09472, -118.315761 34.095821, -118.317946 34.095807, -118.317939 34.094412, -118.324459 34.094375, -118.324455 34.093496, -118.326636 34.093487, -118.326639 34.094366, -118.343382 34.094328, -118.344086 34.094327, -118.34411 34.097935, -118.344652 34.099779, -118.346769 34.099794, -118.346767 34.100267))"
90029,7,34.09,-118.29,"POLYGON ((-118.309211 34.09489, -118.303134 34.095126, -118.303139 34.09666199999999, -118.300507 34.096669, -118.300499 34.095221, -118.288478 34.09567, -118.288479 34.096705, -118.286722 34.095735, -118.284127 34.095812, -118.277162 34.095776, -118.279715 34.091542, -118.27955 34.090733, -118.284466 34.083733, -118.284464 34.083589, -118.309145 34.083509, -118.3092 34.093606, -118.309211 34.09489))"
90031,1,34.08,-118.2,"MULTIPOLYGON (((-118.227235 34.081218, -118.226547 34.081171, -118.226154 34.080315, -118.219798 34.084471, -118.212766 34.086419, -118.212724 34.087865, -118.211445 34.090835, -118.206477 34.096972, -118.205752 34.095363, -118.200556 34.101324, -118.19631 34.102888, -118.196283 34.101904, -118.198545 34.101824, -118.201176 34.100037, -118.19064 34.09670699999999, -118.191389 34.091882, -118.190778 34.089188, -118.191434 34.087097, -118.192849 34.08709, -118.192843 34.085918, -118.196551 34.084411, -118.199007 34.084007, -118.200979 34.078708, -118.202841 34.078678, -118.202732 34.073825, -118.196497 34.073918, -118.194177 34.077382, -118.1934 34.077913, -118.194305 34.07561, -118.197518 34.064659, -118.202983 34.065584, -118.207547 34.065182, -118.210159 34.06374, -118.211485 34.064135, -118.211151 34.06277, -118.214847 34.060248, -118.215856 34.063356, -118.226747 34.062246, -118.224513 34.067602, -118.224793 34.071974, -118.226553 34.079733, -118.227235 34.081218)), ((-118.242327 34.095055, -118.240448 34.096539, -118.237807 34.094344, -118.233932 34.093605, -118.231452 34.092464, -118.22937 34.090154, -118.22788 34.083188, -118.228423 34.083427, -118.232118 34.085961, -118.237301 34.089257, -118.243823 34.095615, -118.242327 34.095055)))"
90032,1,34.08,-118.17,"POLYGON ((-118.202841 34.078678, -118.200979 34.078708, -118.199007 34.084007, -118.196551 34.084411, -118.192843 34.085918, -118.192849 34.08709, -118.191434 34.087097, -118.190778 34.089188, -118.191389 34.091882, -118.19064 34.09670699999999, -118.190177 34.093636, -118.187226 34.092604, -118.185931 34.093073, -118.182524 34.091053, -118.181095 34.094484, -118.182281 34.094826, -118.181567 34.09654, -118.18038 34.096198, -118.177996 34.101921, -118.177994 34.098595, -118.155292 34.098576, -118.155463 34.097515, -118.155885 34.096823, -118.16066 34.093441, -118.160544 34.08889, -118.160496 34.075131, -118.161761 34.074635, -118.161767 34.07103, -118.164694 34.065209, -118.165293 34.062298, -118.169259 34.06229, -118.169256 34.061489, -118.173396 34.060453, -118.174256 34.061347, -118.178214 34.061396, -118.179064 34.062236, -118.181303 34.061754, -118.18503 34.061757, -118.186107 34.062523, -118.192638 34.063153, -118.192692 34.063755, -118.197518 34.064659, -118.194305 34.07561, -118.1934 34.077913, -118.194177 34.077382, -118.196497 34.073918, -118.202732 34.073825, -118.202841 34.078678))"
90033,3,34.04,-118.21,"POLYGON ((-118.229988 34.047908, -118.228577 34.052912, -118.226241 34.055929, -118.226904 34.061622, -118.226747 34.062246, -118.215856 34.063356, -118.214847 34.060248, -118.211151 34.06277, -118.211485 34.064135, -118.210159 34.06374, -118.207547 34.065182, -118.202983 34.065584, -118.197518 34.064659, -118.192692 34.063755, -118.192638 34.063153, -118.192625 34.061762, -118.192564 34.054762, -118.195188 34.05297, -118.196444 34.049824, -118.199555 34.044896, -118.197766 34.044095, -118.200403 34.043551, -118.20337 34.038932, -118.201266 34.037993, -118.202278 34.036379, -118.203403 34.03688, -118.204739 34.034775, -118.206036 34.034909, -118.20865 34.035235, -118.217362 34.039075, -118.21822 34.037745, -118.219577 34.038317, -118.220918 34.033727, -118.221694 34.036913, -118.221638 34.04229, -118.22192 34.039106, -118.224655 34.039106, -118.227695 34.038436, -118.228688 34.041549, -118.229988 34.047908), (-118.207358 34.060642, -118.204591 34.059425, -118.203489 34.061302, -118.204317 34.061557, -118.204974 34.062396, -118.207358 34.060642))"
90034,11,34.02,-118.39,"POLYGON ((-118.42864 34.027367, -118.427298 34.025671, -118.426325 34.027099, -118.424839 34.027875, -118.425439 34.028634, -118.419957 34.031142, -118.418345 34.03064, -118.41707 34.031704, -118.413739 34.031472, -118.409887 34.030226, -118.403202 34.029546, -118.402401 34.030421, -118.402374 34.030946, -118.40183 34.032939, -118.400642 34.034907, -118.400188 34.035055, -118.399374 34.036234, -118.399618 34.036771, -118.398868 34.038118, -118.399074 34.039692, -118.398597 34.039801, -118.398654 34.04032, -118.399453 34.044128, -118.400641 34.046311, -118.400644 34.04643, -118.397282 34.045499, -118.394524 34.045827, -118.386592 34.044868, -118.380888 34.043405, -118.370497 34.04141, -118.369801 34.040019, -118.368792 34.038165, -118.372649 34.035825, -118.369577 34.03508, -118.375919 34.032417, -118.384206 34.030214, -118.38776 34.029064, -118.38834 34.029485, -118.3961 34.025077, -118.406864 34.018574, -118.41692 34.012887, -118.418235 34.012109, -118.429918 34.026861, -118.42864 34.027367))"
90035,16,34.05,-118.38,"POLYGON ((-118.405362 34.054544, -118.40591 34.055624, -118.405812 34.05596, -118.405488 34.056691, -118.405657 34.057039, -118.405658 34.057104, -118.400907 34.056997, -118.39908 34.057035, -118.397948 34.057095, -118.39751 34.05734, -118.397328 34.057094, -118.390298 34.057085, -118.383666 34.057099, -118.383534 34.062937, -118.37733 34.062954, -118.377266 34.059384, -118.376174 34.059462, -118.373678 34.059308, -118.373846 34.058266, -118.371758 34.059088, -118.364894 34.058305, -118.366008 34.055882, -118.366032 34.053378, -118.366871 34.053192, -118.367182 34.049699, -118.36978 34.043207, -118.370497 34.04141, -118.380888 34.043405, -118.386592 34.044868, -118.394524 34.045827, -118.397282 34.045499, -118.400644 34.04643, -118.400641 34.046311, -118.402375 34.046615, -118.40149 34.051835, -118.403644 34.052089, -118.406023 34.05266599999999, -118.405362 34.054544))"
90036,32,34.06,-118.35,"POLYGON ((-118.361375 34.062967, -118.361452 34.080191, -118.361417 34.083811, -118.347435 34.083505, -118.346216 34.081852, -118.345149 34.083455, -118.34405 34.083431, -118.338583 34.083457, -118.338496 34.080292, -118.337995 34.08029399999999, -118.337734 34.068981, -118.337348 34.068911, -118.337763 34.066905, -118.337149 34.064928, -118.338469 34.064925, -118.338464 34.062115, -118.336545 34.062077, -118.337054 34.060564, -118.337616 34.060423, -118.338167 34.058981, -118.339393 34.057063, -118.353539 34.057385, -118.354642 34.054199, -118.355409 34.054467, -118.354739 34.05741, -118.359856 34.057519, -118.360966 34.056668, -118.363818 34.058183, -118.361375 34.062967))"
90037,10,34.0,-118.28,"POLYGON ((-118.300551 34.010852, -118.300173 34.010866, -118.300165 34.018177, -118.293071 34.01816, -118.291537 34.015481, -118.287607 34.015636, -118.287345 34.016513, -118.282759 34.016514, -118.282754 34.015665, -118.281066 34.015617, -118.280849 34.014518, -118.280303 34.01559, -118.274009 34.013057, -118.273984 34.005683, -118.273428 34.003831, -118.27279 34.003835, -118.273972 34.002014, -118.273953 33.996505, -118.272844 33.996514, -118.273948 33.995227, -118.273928 33.989191, -118.28039 33.989154, -118.283204 33.989139, -118.300193 33.989109, -118.30018 34.003697, -118.300758 34.003698, -118.300551 34.010852))"
90038,4,34.08,-118.32,"POLYGON ((-118.345153 34.085261, -118.344052 34.085265, -118.344059 34.088893, -118.344086 34.094327, -118.343382 34.094328, -118.326639 34.094366, -118.326636 34.093487, -118.324455 34.093496, -118.324459 34.094375, -118.317939 34.094412, -118.317946 34.095807, -118.315761 34.095821, -118.315753 34.09472, -118.31108 34.094794, -118.3092 34.093606, -118.309145 34.083509, -118.315712 34.083504, -118.315724 34.081661, -118.317877 34.081661, -118.317883 34.083502, -118.323665 34.083496, -118.323659 34.081677, -118.324848 34.081674, -118.324854 34.083493, -118.327707 34.083482, -118.328383 34.081661, -118.331063 34.08165, -118.330959 34.083466, -118.338583 34.083457, -118.34405 34.083431, -118.345149 34.083455, -118.345153 34.085261))"
90039,4,34.11,-118.26,"POLYGON ((-118.278337 34.153205, -118.277219 34.153208, -118.275876 34.153165, -118.275401 34.153166, -118.272095 34.146749, -118.269808 34.141988, -118.263473 34.129673, -118.261069 34.125771, -118.258424 34.122585, -118.254135 34.11886, -118.252363 34.117349, -118.24744 34.113062, -118.246438 34.111753, -118.245187 34.109343, -118.242459 34.106247, -118.24096 34.101998, -118.237345 34.095999, -118.236666 34.096694, -118.234394 34.094965, -118.230692 34.093401, -118.227272 34.089689, -118.22692 34.082876, -118.227606 34.08308299999999, -118.22788 34.083188, -118.22937 34.090154, -118.231452 34.092464, -118.233932 34.093605, -118.237807 34.094344, -118.240448 34.096539, -118.242327 34.095055, -118.243823 34.095615, -118.243699 34.094277, -118.245978 34.095117, -118.246686 34.094631, -118.248899 34.095572, -118.251311 34.095035, -118.250742 34.093426, -118.254234 34.089112, -118.254316 34.087332, -118.256614 34.088835, -118.260434 34.090493, -118.261219 34.090067, -118.264394 34.091552, -118.26334 34.093963, -118.260856 34.09752, -118.261035 34.099946, -118.266013 34.09563, -118.266757 34.093476, -118.268562 34.09414599999999, -118.268551 34.095291, -118.275638 34.095363, -118.277162 34.095776, -118.273637 34.09937, -118.273292 34.103688, -118.27296 34.103681, -118.271385 34.10917999999999, -118.26897 34.111588, -118.267271 34.112279, -118.266243 34.1127, -118.265391 34.113684, -118.26735 34.115765, -118.269967 34.121213, -118.270071 34.122066, -118.272408 34.12751799999999, -118.276272 34.141043, -118.278183 34.148029, -118.278337 34.153205))"
90293,1,33.94,-118.44,"POLYGON ((-118.451301 33.964231, -118.432259 33.975016, -118.432009 33.974636, -118.42655 33.966385, -118.425965 33.96588, -118.427161 33.965198, -118.430293 33.967192, -118.436734 33.963959, -118.439437 33.962904, -118.437941 33.959657, -118.43513 33.962909, -118.435774 33.963722, -118.432832 33.965063, -118.431096 33.963265, -118.42883 33.963624, -118.428088 33.96172, -118.428424 33.960632, -118.430252 33.960624, -118.430655 33.959705, -118.426367 33.959717, -118.426541 33.958178, -118.428619 33.955312, -118.430339 33.95549099999999, -118.425287 33.953944, -118.421912 33.953774, -118.417936 33.95604, -118.416327 33.955854, -118.413978 33.953999, -118.422511 33.952671, -118.425758 33.952688, -118.433098 33.951873, -118.43689 33.952081, -118.439196 33.951636, -118.436478 33.946844, -118.436003 33.943379, -118.428775 33.93096999999999, -118.428754 33.927201, -118.427667 33.927203, -118.42766 33.923582, -118.426574 33.923583, -118.426571 33.921769, -118.424396 33.92177, -118.424391 33.919958, -118.422222 33.919957, -118.422221 33.916329, -118.429749014445 33.91627096154109, -118.430011733396 33.91676981973669, -118.435197538436 33.9266167734248, -118.44241 33.940312, -118.442490840366 33.94046214188749, -118.450677 33.955666, -118.455822236985 33.9626297317564, -118.451301 33.964231))"
90041,1,34.13,-118.2,"POLYGON ((-118.228784 34.139073, -118.228774 34.146032, -118.226231 34.149789, -118.222455 34.149254, -118.219436 34.148275, -118.219179 34.147514, -118.211614 34.147176, -118.210972 34.14622, -118.207723 34.147247, -118.205432 34.147431, -118.202701 34.150633, -118.198191 34.151626, -118.198195 34.149045, -118.183878 34.149081, -118.184561 34.145401, -118.183708 34.144772, -118.184812 34.143488, -118.184666 34.142768, -118.185212 34.142833, -118.183111 34.141943, -118.180541 34.141374, -118.180376 34.141232, -118.185468 34.138602, -118.186097 34.133732, -118.187555 34.133351, -118.189127 34.131831, -118.189722 34.133331, -118.190955 34.133118, -118.193532 34.131329, -118.193337 34.130258, -118.195042 34.129056, -118.201483 34.12976099999999, -118.203193 34.127907, -118.207279 34.128099, -118.208144 34.124578, -118.209875 34.124847, -118.210386 34.126015, -118.211335 34.125079, -118.213725 34.125533, -118.214221 34.123567, -118.213808 34.121936, -118.21502 34.12216799999999, -118.215891 34.120768, -118.214909 34.118622, -118.217401 34.119075, -118.217322 34.11758, -118.218564 34.117901, -118.22179 34.120764, -118.224297 34.122219, -118.223266 34.122719, -118.224366 34.124285, -118.225693 34.123645, -118.226065 34.124512, -118.225152 34.126247, -118.223888 34.126479, -118.222635 34.129922, -118.224658 34.13012, -118.223764 34.131465, -118.224489 34.132867, -118.222917 34.135197, -118.225648 34.136071, -118.227751 34.135601, -118.227877 34.138084, -118.229149 34.138079, -118.228784 34.139073))"
90042,3,34.11,-118.19,"POLYGON ((-118.217401 34.119075, -118.214909 34.118622, -118.215891 34.120768, -118.21502 34.12216799999999, -118.213808 34.121936, -118.214221 34.123567, -118.213725 34.125533, -118.211335 34.125079, -118.210386 34.126015, -118.209875 34.124847, -118.208144 34.124578, -118.207279 34.128099, -118.203193 34.127907, -118.201483 34.12976099999999, -118.195042 34.129056, -118.193337 34.130258, -118.193532 34.131329, -118.190955 34.133118, -118.189722 34.133331, -118.189127 34.131831, -118.187555 34.133351, -118.186097 34.133732, -118.182817 34.131211, -118.18258 34.129186, -118.180896 34.128331, -118.180193 34.126425, -118.176541 34.126624, -118.176955 34.123141, -118.172804 34.124771, -118.172528 34.125828, -118.170536 34.126903, -118.167607 34.126019, -118.167274 34.125868, -118.16593 34.125337, -118.168262 34.124302, -118.168053 34.123923, -118.167472 34.121105, -118.16889 34.119924, -118.168866 34.117843, -118.172758 34.113627, -118.176886 34.112057, -118.177333 34.110847, -118.177995 34.110244, -118.177996 34.101921, -118.18038 34.096198, -118.181567 34.09654, -118.182281 34.094826, -118.181095 34.094484, -118.182524 34.091053, -118.185931 34.093073, -118.187226 34.092604, -118.190177 34.093636, -118.19064 34.09670699999999, -118.201176 34.100037, -118.198545 34.101824, -118.196283 34.101904, -118.19631 34.102888, -118.200556 34.101324, -118.202462 34.102363, -118.204857 34.102766, -118.204837 34.100267, -118.205644 34.099002, -118.208402 34.096989, -118.204986 34.100941, -118.205497 34.105402, -118.206722 34.105538, -118.208823 34.107661, -118.209825 34.107695, -118.207835 34.105668, -118.211221 34.10808, -118.214418 34.108518, -118.213287 34.11227, -118.211387 34.114456, -118.215058 34.115962, -118.217322 34.11758, -118.217401 34.119075))"
90043,20,33.98,-118.33,"POLYGON ((-118.358549 33.995621, -118.357888 33.997112, -118.356974 33.997714, -118.355254 34.001196, -118.354443 34.001677, -118.353524 34.002512, -118.352692 34.001422, -118.349174 34.001914, -118.343278 34.001358, -118.339729 34.001656, -118.339371 34.002277, -118.337183 34.002108, -118.332473 34.003393, -118.331942 34.003634, -118.317619 34.00369, -118.317112 34.000053, -118.317112 33.999967, -118.317402 33.999837, -118.317569 33.997743, -118.31712 33.995036, -118.317131 33.989102, -118.317632 33.988955, -118.31768 33.984398, -118.320701 33.982969, -118.321642 33.982002, -118.317684 33.983865, -118.317687 33.983353, -118.318227 33.983108, -118.31823 33.980006, -118.317712 33.980008, -118.317726 33.978201, -118.318707 33.978198, -118.31872 33.976391, -118.317739 33.976394, -118.317747 33.970923, -118.326471 33.970909, -118.32648 33.967267, -118.33303 33.967249, -118.333024 33.972696, -118.335212 33.972691, -118.33521 33.974447, -118.335186 33.981758, -118.358544 33.981667, -118.358462 33.983042, -118.357254 33.985619, -118.358256 33.988567, -118.358898 33.993244, -118.358549 33.995621))"
90044,3,33.95,-118.29,"POLYGON ((-118.308962 33.929256, -118.306488 33.928833, -118.302754 33.928838, -118.302414 33.930192, -118.300298 33.930155, -118.300255 33.948677, -118.300759 33.949998, -118.300262 33.949999, -118.300267 33.959481, -118.30024 33.967286, -118.301394 33.967286, -118.301378 33.974576, -118.300289 33.974577, -118.300259 33.981422, -118.302404 33.981418, -118.3024 33.98235, -118.300255 33.982345, -118.300193 33.989109, -118.283204 33.989139, -118.282664 33.987364, -118.282594 33.939181, -118.282591 33.93736, -118.284803 33.937348, -118.284804 33.93561, -118.282591 33.935622, -118.282593 33.929776, -118.286956 33.929762, -118.286957 33.928529, -118.280567 33.928499, -118.280789 33.92736, -118.284796 33.927349, -118.284786 33.923711, -118.282578 33.923719, -118.283035 33.920782, -118.282708 33.916422, -118.285945 33.916422, -118.287637 33.917263, -118.291607 33.916422, -118.298604 33.916432, -118.300379 33.91741, -118.300308 33.927271, -118.306161 33.925971, -118.30905 33.925448, -118.308962 33.929256))"
90045,14,33.95,-118.4,"POLYGON ((-118.439437 33.962904, -118.436734 33.963959, -118.430293 33.967192, -118.427161 33.965198, -118.425965 33.96588, -118.423882 33.967194, -118.422964 33.970072, -118.41891 33.972312, -118.413593 33.974583, -118.409873 33.975805, -118.404488 33.977216, -118.401614 33.982284, -118.39923 33.982796, -118.397635 33.982093, -118.386735 33.976719, -118.386404 33.97709, -118.381638 33.976424, -118.371807 33.978048, -118.371782 33.977319, -118.3703 33.978664, -118.370231 33.979929, -118.37009 33.968457, -118.37034 33.967993, -118.371496 33.967991, -118.370842 33.96682, -118.369894 33.963804, -118.371295 33.963345, -118.376855 33.960816, -118.378834 33.95748, -118.378843 33.952647, -118.370057 33.952672, -118.370037 33.94542, -118.370035 33.943104, -118.370033 33.930929, -118.368387 33.930946, -118.368375 33.929021, -118.370015 33.928945, -118.370004 33.923671, -118.374342 33.923661, -118.374381 33.929013, -118.378429 33.929008, -118.378728 33.930895, -118.396105 33.9309, -118.402059 33.931495, -118.425047 33.931354, -118.428775 33.93096999999999, -118.436003 33.943379, -118.436478 33.946844, -118.439196 33.951636, -118.43689 33.952081, -118.433098 33.951873, -118.425758 33.952688, -118.422511 33.952671, -118.413978 33.953999, -118.416327 33.955854, -118.417936 33.95604, -118.421912 33.953774, -118.425287 33.953944, -118.430339 33.95549099999999, -118.428619 33.955312, -118.426541 33.958178, -118.426367 33.959717, -118.430655 33.959705, -118.430252 33.960624, -118.428424 33.960632, -118.428088 33.96172, -118.42883 33.963624, -118.431096 33.963265, -118.432832 33.965063, -118.435774 33.963722, -118.43513 33.962909, -118.437941 33.959657, -118.439437 33.962904))"
90046,10,34.1,-118.37,"POLYGON ((-118.398129 34.120193, -118.397117 34.119038, -118.394175 34.120231, -118.390078 34.122917, -118.387833 34.123346, -118.386713 34.121896, -118.38133 34.12253, -118.380976 34.124505, -118.382149 34.125112, -118.38171 34.126635, -118.380552 34.126904, -118.375305 34.123538, -118.373637 34.126827, -118.37137 34.127022, -118.373272 34.131029, -118.369425 34.129195, -118.366056 34.128968, -118.365299 34.128872, -118.36332 34.128236, -118.362837 34.129007, -118.360602 34.128725, -118.360487 34.128561, -118.359856 34.12847, -118.359686 34.128137, -118.360033 34.12751, -118.360349 34.127348, -118.36041 34.126071, -118.359404 34.125729, -118.351755 34.125349, -118.351305 34.122702, -118.353353 34.123561, -118.354667 34.122554, -118.355113 34.12356, -118.356222 34.12228899999999, -118.355329 34.12145, -118.352041 34.12018, -118.352274 34.119819, -118.350462 34.120002, -118.350144 34.118682, -118.347397 34.114903, -118.347265 34.112954, -118.34553 34.111884, -118.346183 34.111308, -118.345429 34.107332, -118.344838 34.10567, -118.34484 34.104012, -118.345873 34.10369, -118.345084 34.101206, -118.346767 34.100267, -118.346769 34.099794, -118.344652 34.099779, -118.34411 34.097935, -118.344086 34.094327, -118.344059 34.088893, -118.344052 34.085265, -118.345153 34.085261, -118.345149 34.083455, -118.346216 34.081852, -118.347435 34.083505, -118.361417 34.083811, -118.364809 34.083762, -118.364795 34.081583, -118.365889 34.083746, -118.370302 34.08368, -118.370229 34.085402, -118.369075 34.08542, -118.369088 34.087101, -118.370233 34.087084, -118.370295 34.091727, -118.369811 34.092255, -118.370364 34.096854, -118.368642 34.098461, -118.366941 34.098837, -118.367406 34.100585, -118.369041 34.101251, -118.367113 34.102632, -118.367667 34.103959, -118.370071 34.10535, -118.370155 34.104094, -118.373325 34.101979, -118.377115 34.102311, -118.377667 34.103564, -118.379274 34.103276, -118.380111 34.104508, -118.38193 34.105048, -118.382718 34.106125, -118.388396 34.107532, -118.392114 34.106261, -118.390574 34.109203, -118.391583 34.112426, -118.391845 34.11293, -118.394747 34.117145, -118.395593 34.115479, -118.398663 34.113552, -118.397368 34.117008, -118.399444 34.115722, -118.398129 34.120193))"
90047,14,33.95,-118.3,"POLYGON ((-118.320701 33.982969, -118.31768 33.984398, -118.317632 33.988955, -118.317131 33.989102, -118.308934 33.989719, -118.304431 33.98971, -118.304565 33.989118, -118.300193 33.989109, -118.300255 33.982345, -118.3024 33.98235, -118.302404 33.981418, -118.300259 33.981422, -118.300289 33.974577, -118.301378 33.974576, -118.301394 33.967286, -118.30024 33.967286, -118.300267 33.959481, -118.300262 33.949999, -118.300759 33.949998, -118.300255 33.948677, -118.300298 33.930155, -118.302414 33.930192, -118.302754 33.928838, -118.306488 33.928833, -118.308962 33.929256, -118.30905 33.925448, -118.306161 33.925971, -118.300308 33.927271, -118.300379 33.91741, -118.304533 33.917406, -118.304528 33.916445, -118.308997 33.916443, -118.314247 33.91645, -118.314594 33.918536, -118.317787 33.917683, -118.31777 33.921721, -118.313394 33.923532, -118.313392 33.930912, -118.317753 33.930901, -118.31772 33.945463, -118.317747 33.970923, -118.317739 33.976394, -118.31872 33.976391, -118.318707 33.978198, -118.317726 33.978201, -118.317712 33.980008, -118.31823 33.980006, -118.318227 33.983108, -118.317687 33.983353, -118.317684 33.983865, -118.321642 33.982002, -118.320701 33.982969))"
90303,3,33.93,-118.33,"POLYGON ((-118.347159 33.933145, -118.347159 33.93277, -118.345046 33.933499, -118.344438 33.941828, -118.343915 33.945968, -118.343928 33.952713, -118.341366 33.952862, -118.338725 33.954315, -118.33529 33.953768, -118.335474 33.950542, -118.334005 33.945833, -118.339649 33.945457, -118.333789 33.945472, -118.334153 33.947092, -118.329438 33.947084, -118.329404 33.946214, -118.326718 33.94625, -118.326457 33.945473, -118.31772 33.945463, -118.317753 33.930901, -118.322097 33.930898, -118.322072 33.92904, -118.326422 33.928788, -118.326427 33.926769, -118.325542 33.926715, -118.323833 33.926023, -118.317765 33.92527, -118.326436 33.925006, -118.33388 33.924707, -118.336262 33.925159, -118.335659 33.924056, -118.335154 33.923702, -118.337351 33.923712, -118.33732 33.925876, -118.336906 33.925468, -118.336482 33.925578, -118.337277 33.927093, -118.337365 33.929476, -118.337367 33.929981, -118.341591 33.929979, -118.342632 33.929907, -118.343875 33.930942, -118.345958 33.930947, -118.347454 33.931724, -118.347159 33.933145))"
90305,3,33.95,-118.33,"POLYGON ((-118.34405 33.97116, -118.337589 33.97431, -118.33521 33.974447, -118.335212 33.972691, -118.333024 33.972696, -118.33303 33.967249, -118.32648 33.967267, -118.326471 33.970909, -118.317747 33.970923, -118.31772 33.945463, -118.326457 33.945473, -118.326718 33.94625, -118.329404 33.946214, -118.329438 33.947084, -118.334153 33.947092, -118.333789 33.945472, -118.339649 33.945457, -118.334005 33.945833, -118.335474 33.950542, -118.33529 33.953768, -118.338725 33.954315, -118.341366 33.952862, -118.343928 33.952713, -118.34405 33.97116))"
90048,11,34.07,-118.37,"POLYGON ((-118.390718 34.076501, -118.389733 34.07649, -118.389725 34.080759, -118.38526 34.080397, -118.381213 34.081933, -118.37525 34.082011, -118.373155 34.083114, -118.370302 34.083157, -118.370302 34.08368, -118.365889 34.083746, -118.364795 34.081583, -118.364809 34.083762, -118.361417 34.083811, -118.361452 34.080191, -118.361375 34.062967, -118.363818 34.058183, -118.364894 34.058305, -118.371758 34.059088, -118.373846 34.058266, -118.373678 34.059308, -118.376174 34.059462, -118.376001 34.059965, -118.372244 34.0622, -118.372027 34.063867, -118.375755 34.070097, -118.377403 34.069709, -118.383728 34.069684, -118.383764 34.072122, -118.390295 34.072082, -118.390705 34.07233799999999, -118.390419 34.072331, -118.390347 34.073574, -118.39033 34.075294, -118.390714 34.07529, -118.390718 34.076501))"
